1980	1	1	comm	874709.237851534
1980	2	1	comm	1312063.8567773
1980	3	1	comm	1312063.8567773
1980	4	1	comm	874709.237851534
1981	1	1	comm	1036728.66484442
1981	2	1	comm	1555092.99726662
1981	3	1	comm	1555092.99726662
1981	4	1	comm	1036728.66484442
1982	1	1	comm	832874.277517991
1982	2	1	comm	1249311.41627699
1982	3	1	comm	1249311.41627699
1982	4	1	comm	832874.277517991
1983	1	1	comm	1319056.16042756
1983	2	1	comm	1978584.24064134
1983	3	1	comm	1978584.24064134
1983	4	1	comm	1319056.16042756
1984	1	1	comm	1065901.55436307
1984	2	1	comm	1598852.33154461
1984	3	1	comm	1598852.33154461
1984	4	1	comm	1065901.55436307
1985	1	1	comm	835906.323176397
1985	2	1	comm	1253859.4847646
1985	3	1	comm	1253859.4847646
1985	4	1	comm	835906.323176397
1986	1	1	comm	1097485.8104857
1986	2	1	comm	1646228.71572855
1986	3	1	comm	1646228.71572855
1986	4	1	comm	1097485.8104857
1987	1	1	comm	1147664.94102584
1987	2	1	comm	1721497.41153877
1987	3	1	comm	1721497.41153877
1987	4	1	comm	1147664.94102584
1988	1	1	comm	1115156.2703307
1988	2	1	comm	1672734.40549605
1988	3	1	comm	1672734.40549605
1988	4	1	comm	1115156.2703307
1989	1	1	comm	938922.322568729
1989	2	1	comm	1408383.48385309
1989	3	1	comm	1408383.48385309
1989	4	1	comm	938922.322568729
1990	1	1	comm	1302356.23369017
1990	2	1	comm	1953534.35053525
1990	3	1	comm	1953534.35053525
1990	4	1	comm	1302356.23369017
1991	1	1	comm	1077968.64728229
1991	2	1	comm	1616952.97092343
1991	3	1	comm	1616952.97092343
1991	4	1	comm	1077968.64728229
1992	1	1	comm	875751.883891639
1992	2	1	comm	1313627.82583746
1992	3	1	comm	1313627.82583746
1992	4	1	comm	875751.883891639
1993	1	1	comm	557060.0225645
1993	2	1	comm	835590.03384675
1993	3	1	comm	835590.03384675
1993	4	1	comm	557060.0225645
1994	1	1	comm	1224986.18362862
1994	2	1	comm	1837479.27544293
1994	3	1	comm	1837479.27544293
1994	4	1	comm	1224986.18362862
1995	1	1	comm	991013.278196954
1995	2	1	comm	1486519.91729543
1995	3	1	comm	1486519.91729543
1995	4	1	comm	991013.278196954
1996	1	1	comm	996761.947380211
1996	2	1	comm	1495142.92107032
1996	3	1	comm	1495142.92107032
1996	4	1	comm	996761.947380211
1997	1	1	comm	1188767.24213706
1997	2	1	comm	1783150.86320559
1997	3	1	comm	1783150.86320559
1997	4	1	comm	1188767.24213706
1998	1	1	comm	1164244.23901962
1998	2	1	comm	1746366.35852943
1998	3	1	comm	1746366.35852943
1998	4	1	comm	1164244.23901962
1999	1	1	comm	1118780.2642435
1999	2	1	comm	1678170.39636525
1999	3	1	comm	1678170.39636525
1999	4	1	comm	1118780.2642435
2000	1	1	comm	1183795.47432164
2000	2	1	comm	1775693.21148247
2000	3	1	comm	1775693.21148247
2000	4	1	comm	1183795.47432164
2001	1	1	comm	1156427.26014621
2001	2	1	comm	1734640.89021932
2001	3	1	comm	1734640.89021932
2001	4	1	comm	1156427.26014621
2002	1	1	comm	1014912.99667304
2002	2	1	comm	1522369.49500956
2002	3	1	comm	1522369.49500956
2002	4	1	comm	1014912.99667304
2003	1	1	comm	602129.660827326
2003	2	1	comm	903194.491240988
2003	3	1	comm	903194.491240988
2003	4	1	comm	602129.660827326
2004	1	1	comm	1123965.14957894
2004	2	1	comm	1685947.72436841
2004	3	1	comm	1685947.72436841
2004	4	1	comm	1123965.14957894
2005	1	1	comm	988774.2520942
2005	2	1	comm	1483161.3781413
2005	3	1	comm	1483161.3781413
2005	4	1	comm	988774.2520942
2006	1	1	comm	968840.898658934
2006	2	1	comm	1453261.3479884
2006	3	1	comm	1453261.3479884
2006	4	1	comm	968840.898658934
2007	1	1	comm	705849.523220145
2007	2	1	comm	1058774.28483022
2007	3	1	comm	1058774.28483022
2007	4	1	comm	705849.523220145
2008	1	1	comm	904369.988978276
2008	2	1	comm	1356554.98346741
2008	3	1	comm	1356554.98346741
2008	4	1	comm	904369.988978276
2009	1	1	comm	1083588.31203994
2009	2	1	comm	1625382.46805991
2009	3	1	comm	1625382.46805991
2009	4	1	comm	1083588.31203994
2010	1	1	comm	1271735.91030581
2010	2	1	comm	1907603.86545871
2010	3	1	comm	1907603.86545871
2010	4	1	comm	1271735.91030581
2011	1	1	comm	979442.454531401
2011	2	1	comm	1469163.6817971
2011	3	1	comm	1469163.6817971
2011	4	1	comm	979442.454531401
