1996	1	allareas	allages	len23-24	17
1997	1	allareas	allages	len23-24	40
1998	1	allareas	allages	len23-24	13
1999	1	allareas	allages	len23-24	16
2000	1	allareas	allages	len23-24	9
2001	1	allareas	allages	len23-24	4
2002	1	allareas	allages	len23-24	8
2003	1	allareas	allages	len23-24	9
2004	1	allareas	allages	len23-24	21
2005	1	allareas	allages	len23-24	49
2006	1	allareas	allages	len23-24	14
2007	1	allareas	allages	len23-24	10
2008	1	allareas	allages	len23-24	8
2009	1	allareas	allages	len23-24	13
2010	1	allareas	allages	len23-24	26
2011	1	allareas	allages	len23-24	7
2012	1	allareas	allages	len23-24	32
2013	1	allareas	allages	len23-24	5
2014	1	allareas	allages	len23-24	2
1957	2	allareas	allages	len23-24	1
1972	2	allareas	allages	len23-24	3
1973	2	allareas	allages	len23-24	28
1975	2	allareas	allages	len23-24	5
1977	2	allareas	allages	len23-24	10
1978	2	allareas	allages	len23-24	11
1979	2	allareas	allages	len23-24	1
1980	2	allareas	allages	len23-24	1
1981	2	allareas	allages	len23-24	10
1982	2	allareas	allages	len23-24	17
1983	2	allareas	allages	len23-24	13
1984	2	allareas	allages	len23-24	3
1986	2	allareas	allages	len23-24	7
1987	2	allareas	allages	len23-24	9
1988	2	allareas	allages	len23-24	2
1989	2	allareas	allages	len23-24	12
1990	2	allareas	allages	len23-24	19
1992	2	allareas	allages	len23-24	2
1993	2	allareas	allages	len23-24	31
1994	2	allareas	allages	len23-24	12
1995	2	allareas	allages	len23-24	23
1996	2	allareas	allages	len23-24	3
1997	2	allareas	allages	len23-24	11
1998	2	allareas	allages	len23-24	4
1999	2	allareas	allages	len23-24	8
2000	2	allareas	allages	len23-24	22
2001	2	allareas	allages	len23-24	14
2002	2	allareas	allages	len23-24	82
2003	2	allareas	allages	len23-24	66
2004	2	allareas	allages	len23-24	6
2005	2	allareas	allages	len23-24	74
2006	2	allareas	allages	len23-24	47
2007	2	allareas	allages	len23-24	11
2008	2	allareas	allages	len23-24	13
2009	2	allareas	allages	len23-24	11
2010	2	allareas	allages	len23-24	21
2011	2	allareas	allages	len23-24	2
2012	2	allareas	allages	len23-24	8
2013	2	allareas	allages	len23-24	1
1952	1	allareas	allages	len25-26	1
1953	1	allareas	allages	len25-26	1
1956	1	allareas	allages	len25-26	1
1957	1	allareas	allages	len25-26	6
1958	1	allareas	allages	len25-26	4
1962	1	allareas	allages	len25-26	2
1976	1	allareas	allages	len25-26	3
1977	1	allareas	allages	len25-26	46
1978	1	allareas	allages	len25-26	2
1979	1	allareas	allages	len25-26	35
1981	1	allareas	allages	len25-26	6
