2004	1	allareas	len60-69	161.9
2004	1	allareas	len70-79	28
2004	1	allareas	len80+	20.6
2005	1	allareas	len10-19	566.6
2005	1	allareas	len20-29	1709.3
2005	1	allareas	len30-39	1522.5
2005	1	allareas	len40-49	1366.6
2005	1	allareas	len50-59	622.3
2005	1	allareas	len60-69	134
2005	1	allareas	len70-79	29.6
2005	1	allareas	len80+	28.8
2006	1	allareas	len10-19	654.7
2006	1	allareas	len20-29	2011.7
2006	1	allareas	len30-39	1774.8
2006	1	allareas	len40-49	1442.8
2006	1	allareas	len50-59	687.5
2006	1	allareas	len60-69	172.5
2006	1	allareas	len70-79	39.5
2006	1	allareas	len80+	22.5
2007	1	allareas	len10-19	513.9
2007	1	allareas	len20-29	1677.1
2007	1	allareas	len30-39	1778.9
2007	1	allareas	len40-49	1407.1
2007	1	allareas	len50-59	671.6
2007	1	allareas	len60-69	170.5
2007	1	allareas	len70-79	66
2007	1	allareas	len80+	17.2
2008	1	allareas	len10-19	302.3
2008	1	allareas	len20-29	1557.7
2008	1	allareas	len30-39	1826.6
2008	1	allareas	len40-49	1655.1
2008	1	allareas	len50-59	740.4
2008	1	allareas	len60-69	133.6
2008	1	allareas	len70-79	39.7
2008	1	allareas	len80+	10
2009	1	allareas	len10-19	219.2
2009	1	allareas	len20-29	1132.1
2009	1	allareas	len30-39	1479.2
2009	1	allareas	len40-49	1404.2
2009	1	allareas	len50-59	802
2009	1	allareas	len60-69	134.1
2009	1	allareas	len70-79	33.8
2009	1	allareas	len80+	33.9
2010	1	allareas	len10-19	79.7
2010	1	allareas	len20-29	731.1
2010	1	allareas	len30-39	1315.2
2010	1	allareas	len40-49	1447
2010	1	allareas	len50-59	824.1
2010	1	allareas	len60-69	136.1
2010	1	allareas	len70-79	30.6
2010	1	allareas	len80+	9.2
2011	1	allareas	len10-19	63.9
2011	1	allareas	len20-29	551.2
2011	1	allareas	len30-39	1336
2011	1	allareas	len40-49	1463.4
2011	1	allareas	len50-59	952.6
2011	1	allareas	len60-69	226.2
2011	1	allareas	len70-79	13.7
2011	1	allareas	len80+	12.9
2012	1	allareas	len10-19	74.9
2012	1	allareas	len20-29	407.2
2012	1	allareas	len30-39	1152.5
2012	1	allareas	len40-49	1401.1
2012	1	allareas	len50-59	1090.1
2012	1	allareas	len60-69	222.4
2012	1	allareas	len70-79	60.4
2012	1	allareas	len80+	11.6
2013	1	allareas	len10-19	39.1
2013	1	allareas	len20-29	195.8
2013	1	allareas	len30-39	707.1
2013	1	allareas	len40-49	1316.5
2013	1	allareas	len50-59	928.5
2013	1	allareas	len60-69	228.6
2013	1	allareas	len70-79	18.1
2013	1	allareas	len80+	19
